pid,start_date,choices,starter_id,votes,poll_question,poll_only,poll_view_voters,poll_closed,poll_close_date
1,1323789938,"{""1"":{""question"":""Whodunnit?"",""choice"":{""1"":""Muslims"",""2"":""Breivik""},""votes"":{""1"":9,""2"":4}}}",4,13,"",0,0,0,-1
3,1329177813,"{""1"":{""question"":""Democracy has failed."",""choice"":{""1"":""NO MORE BROTHERS WARS"",""2"":""POOLS CLOSED""},""votes"":{""1"":9,""2"":5,""3"":null}}}",4,27,"THERE WAS A HUGE EDITING WAR AND WHAT WE HAVE LEARNED IS",0,0,0,-1
4,1331051316,"{""1"":{""question"":""Demographics gathered; thank you for your participation"",""choice"":{""1"":""Young"",""2"":""Young Adult"",""3"":""Adult"",""4"":""Older Adult"",""5"":""The grave calls me...""},""votes"":{""1"":1,""2"":31,""3"":5,""4"":3,""5"":1}}}",14,41,"Answer the Question",0,1,0,-1
6,1336699918,"{""1"":{""question"":""Do you have insomnia?"",""choice"":{""1"":""Yes"",""2"":""No""},""votes"":{""1"":17,""2"":23}}}",0,40,"Do you have insomnia?",0,0,0,-1
11,1346905671,"{""1"":{""question"":""How would peer-to-peer and torrent downloads be handled?"",""choice"":{""1"":""It should be completely restricted to cut down on piracy of products and bandwidth resources"",""2"":""Well, I use it sometimes but not that often, so leave it as is now (illegal but mostly unregulated, like in the U.S.)"",""3"":""P2P and torrents are still good for legal purposes (free and open-source distribution) Regulate it to cut down on illegal content"",""4"":""P2P sharing should be fully legal, as far as I&#39;m concerned""},""votes"":{""1"":1,""2"":5,""3"":6,""4"":8}}}",274,20,"How would peer-to-peer and torrent downloads be handled in such a society?",0,0,0,-1
18,1376096622,"{""1"":{""question"":""Wasn&#39;t OP a faggot?"",""choice"":{""1"":""Probably Knight, readings off the charts"",""2"":""Might not be Knight, even though they have the same IP""},""votes"":{""1"":20,""2"":4}}}",6201,25,"How Gay is the OP?",0,1,0,-1
20,1376945053,"{""1"":{""question"":""Which one should KU ban?"",""multi"":1,""choice"":{""1"":""VikingHeritage"",""2"":""InTheRight""},""votes"":{""1"":15,""2"":11}}}",0,23,"Mexican or Muslim Immigrants which would you rather ?",0,0,0,-1
23,1382448437,"{""1"":{""question"":""Where do you live?"",""choice"":{""1"":""Midwest"",""2"":""East Coast"",""3"":""South"",""4"":""Pacific NorthWest"",""5"":""West\/South West""},""votes"":{""1"":9,""2"":19,""3"":12,""4"":5,""5"":8}}}",35,53,"Where do you live?",0,0,0,-1
24,1394861655,"{""1"":{""question"":""Will the fascists crush democracy?"",""choice"":{""1"":""Aye. Cruz mea lux"",""2"":""No. The SPLC will fight to the death. "",""3"":""Putin will invade Times Square first"",""4"":""This is clearly a plot by Crab People""},""votes"":{""1"":0,""2"":2,""3"":5,""4"":15}}}",6122,22,"",0,0,0,-1
25,1398889991,"{""1"":{""question"":""Is global climate change anthropogenic (human caused)?"",""choice"":{""1"":""Yes. The data overwhelmingly support it. [or other reasoning]"",""2"":""No. There are not enough data to prove it. [or other reasoning]""},""votes"":{""1"":12,""2"":16}}}",0,28,"Climate Change",0,1,0,-1
26,1400013298,"{""1"":{""question"":""Is racism integral to the belief in a fascist regime?"",""choice"":{""1"":""Yes, Fascism cannot be true without racism"",""2"":""No, racism is not an integral aspect of Fascism"",""3"":""I don&#39;t have an opinion\/I do not care either way""},""votes"":{""1"":45,""2"":9,""3"":2}}}",0,56,"Racism in Fascist Ideas and Beliefs",0,1,0,-1
27,1400714156,"{""1"":{""question"":""Do you believe the holyhoax happened? [IM 2014]"",""choice"":{""1"":""I do believe the holocaust happened"",""2"":""AHAHAHA 0\/5 JIDF fuck off KIKE""},""votes"":{""1"":6,""2"":53}}}",1,59,"Do you believe the holyhoax happened? [IM 2014]",0,1,0,-1
28,1407350451,"{""1"":{""question"":""Which Social Networking Website Do You Use?"",""multi"":1,""choice"":{""1"":""Facebook "",""2"":""VK"",""3"":""Myspace"",""4"":""Other Website Not Listed""},""votes"":{""1"":21,""2"":3,""3"":0,""4"":5}}}",7636,24,"Which Social Networking Website Do You Use?",0,1,0,-1
29,1408164391,"{""1"":{""question"":""Is anyone here &quot;Straight Edge&quot;? "",""choice"":{""1"":""Yes, too alpha for drugs. "",""2"":""Kinda, dont do drugs, but drink and sometimes smoke"",""3"":""Nah, I use drugs and Alcohol to escape from the decline of the west""},""votes"":{""1"":49,""2"":42,""3"":12}}}",7846,103,"Is anyone here &quot;Straight Edge&quot;? ",0,1,0,-1
30,1416858419,"{""1"":{""question"":""how charismatic are you?"",""multi"":1,""choice"":{""1"":""alpha as fuck cult leader "",""2"":""normal cis male scum"",""3"":""awkward creep"",""4"":""socially retarded basement dweller""},""votes"":{""1"":12,""2"":20,""3"":4,""4"":5}}}",7508,34,"",0,0,0,-1
31,1419363839,"{""1"":{""question"":""Do you really watch anime"",""choice"":{""1"":""Yes"",""2"":""No"",""3"":""Yes but only &quot;Ro-Kyu-Bu&#33;&quot; so I could write a review for TotenkopfAnime [Obligatory Ironic Third Choice]""},""votes"":{""1"":8,""2"":5,""3"":3}}}",132,16,"",0,1,0,-1
33,1422507459,"{""1"":{""question"":""Where do you call home?"",""choice"":{""1"":""Northeast"",""2"":""South"",""3"":""Midwest"",""4"":""Southwest"",""5"":""West coast""},""votes"":{""1"":17,""2"":38,""3"":25,""4"":8,""5"":14}}}",6113,102,"Where do you reside? Plan to reside in the next few years",0,0,0,-1
35,1427364805,"{""1"":{""question"":""Gdje se nalazite?"",""choice"":{""1"":""Hrvatska"",""2"":""Srbija"",""3"":""Bosna\/Hercegovina"",""4"":""Republika Srpska"",""5"":""Kosovo"",""6"":""Makedonija"",""7"":""Crna Gora"",""8"":""Slovenija""},""votes"":{""1"":4,""2"":4,""3"":1,""4"":1,""5"":0,""6"":0,""7"":0,""8"":1}}}",9267,11,Lokacjia,0,0,0,-1
36,1427925769,"{""1"":{""question"":""Where do you live?"",""choice"":{""1"":""With parents "",""2"":""at school\/camp"",""3"":""my own home"",""4"":""hobo\/squatter""},""votes"":{""1"":36,""2"":4,""3"":17,""4"":4}},""2"":{""question"":""Do have a job?"",""choice"":{""1"":""Yes"",""2"":""No, NEET master race reporting in"",""3"":""hobo""},""votes"":{""1"":34,""2"":23,""3"":4}},""3"":{""question"":""class?"",""choice"":{""1"":""Higher Upper class (but babe, im the fuhrer&#33;)"",""2"":""Upper class"",""3"":""Higher middle class"",""4"":""middle class"",""5"":""lower class""},""votes"":{""1"":2,""2"":2,""3"":10,""4"":32,""5"":15}}}",7508,61,"",0,0,0,-1
37,1436964463,"{""1"":{""question"":""What was best\/least bad Russia?"",""choice"":{""1"":""The Russian Empire"",""2"":""The Soviet union (under Stalin)""},""votes"":{""1"":35,""2"":2}}}",9240,37,"Greater slavland",0,0,0,-1
38,1438077770,"{""1"":{""question"":""Do gas chambers work on plants?"",""choice"":{""1"":""No"",""2"":""Maybe if you&#39;re extra-thorough..."",""3"":""They put cyanide in their fucking seeds""},""votes"":{""1"":0,""2"":3,""3"":4}}}",0,7,"u wot",0,1,0,-1
40,1443441164,"{""1"":{""question"":""What SHOULD be the proper way of handling Muslim immigrants in Europe?"",""multi"":1,""choice"":{""1"":""Kill them. Concentration camps and other."",""2"":""Enslave them and make them work for the state."",""3"":""Deport them out of Europe."",""4"":""Other.""},""votes"":{""1"":38,""2"":11,""3"":59,""4"":8}}}",9267,102,"Enslave, kill or other?",0,1,0,-1
41,1452839394,"{""1"":{""question"":""Is solely Bible-based Christian Theocracy compatible with Fascist values? Why? Why not? What else?"",""choice"":{""1"":""Yes"",""2"":""No"",""3"":""Depends"",""4"":""Fuck off. We of Evola&#39;s Hyperborean Black-Sun Cult now""},""votes"":{""1"":20,""2"":14,""3"":11,""4"":12}}}",9720,57,"100% Bible-Only Theocracy compatible with Fascism? Why? Why not?",0,1,0,-1
43,1456555315,"{""1"":{""question"":""Which State are you in?"",""choice"":{""1"":""Queensland"",""2"":""New South Wales"",""3"":""Victoria"",""4"":""Kikeberra"",""5"":""South Australia"",""6"":""Western Australia"",""7"":""Northern Terrority"",""8"":""New Zealand"",""9"":""Tasmania ""},""votes"":{""1"":2,""2"":1,""3"":3,""4"":0,""5"":1,""6"":0,""7"":0,""8"":0,""9"":1}},""2"":{""question"":""Willing to particpate in some info-activism?"",""choice"":{""1"":""Yes"",""2"":""No""},""votes"":{""1"":7,""2"":1}}}",9905,8,"Which State are you in",0,0,0,-1
44,1459509659,"{""1"":{""question"":""What economic system is best?"",""multi"":0,""choice"":{""1"":""Nazi economics"",""2"":""Duginist beard trading"",""3"":""Superior Free Market economy"",""4"":""Corporatism (Mussolini, USA, STATE+COMPANY(!!!!))"",""5"":""I am a special snowflake\/IDC\/IDK""},""votes"":{""1"":21,""2"":8,""3"":4,""4"":3,""5"":8}}}",1558,44,"What economic system is best?",0,1,0,-1
45,1473796523,"{""1"":{""question"":""Which IM backgrounds do you use?"",""multi"":1,""choice"":{""1"":""The Mountains"",""2"":""Morning at the Seraphim-Diveevo Monastery"",""3"":""Eisenwalzwerk (Iron Rolling Mill)"",""4"":""The School of Athens"",""5"":""Destruction"",""6"":""Fra Romsdalen""},""votes"":{""1"":11,""2"":1,""3"":5,""4"":1,""5"":0,""6"":2}}}",1,16,"Which IM backgrounds do you use?",0,0,0,-1
46,1475171755,"{""1"":{""question"":""Would you accept other nationalists in your country?"",""multi"":0,""choice"":{""1"":""Yes"",""2"":""No""},""votes"":{""1"":36,""2"":11}}}",13366,47,"Would you accept other nationalists in your country?",0,0,0,-1
47,1478011027,"{""1"":{""question"":""Should tinder\/other site users be gassed? "",""multi"":0,""choice"":{""1"":""Yes "",""2"":""No, it is acceptable as last resort.""},""votes"":{""1"":47,""2"":12}}}",13106,59,Poll,0,0,0,-1
48,1479417007,"{""1"":{""question"":""Are contraceptive pills degenerate ?"",""multi"":0,""choice"":{""1"":""Yes"",""2"":""No""},""votes"":{""1"":32,""2"":4}}}",11769,36,"Are contraceptive pills degenerate ?",0,0,0,-1
49,1482115006,"{""1"":{""question"":""What will we do with non-whites?"",""multi"":0,""choice"":{""1"":""Somewhat equal segregation where whites are still favored in the eyes of the law (Leadership positions, Civil Services, More or less like Rhodesia)"",""2"":""Segregation in which minorities have little rights and live in poverty."",""3"":""Deportation of all non-whites."",""4"":""Genocide of all non-whites.""},""votes"":{""1"":5,""2"":1,""3"":37,""4"":11}}}",13240,54,"What will we do with non-whites?",0,0,0,-1
50,1485879697,"{""1"":{""question"":""What Scandinavian country are you from?"",""multi"":0,""choice"":{""1"":""Denmark"",""2"":""Iceland"",""3"":""Norway"",""4"":""Sweden"",""5"":""Faroe Islands (Denmark)"",""6"":""Greenland (Denmark)"",""7"":""Aaland (Finland, although the Finnish mainland is not Scandinavian)"",""8"":""Bornholm (Denmark)"",""9"":""Svalbard (Norway)"",""10"":""Schleswig-Holstein (Germany)""},""votes"":{""1"":1,""2"":1,""3"":3,""4"":1,""5"":0,""6"":2,""7"":1,""8"":0,""9"":1,""10"":0}}}",13946,10,"What Scandinavian country are you from?",0,0,0,-1
51,1485888817,"{""1"":{""question"":""What part of Britain do you live in?"",""multi"":0,""choice"":{""1"":""Southern England (Greater London, Sussex, etc)"",""2"":""Wales"",""3"":""Northern England (Manchester, Liverpool, etc)"",""4"":""East Anglia (East England)"",""5"":""West England (Cornwall, Somerset, etc)"",""6"":""Scotland"",""7"":""Northern Ireland""},""votes"":{""1"":5,""2"":2,""3"":0,""4"":0,""5"":0,""6"":3,""7"":3}}}",13945,13,"What part of the United Kingdom are you from?",0,0,0,-1
52,1486498536,"{""2"":{""question"":""Is the OP a retard? (If the OP dares to change the poll himself again there will be consequences.)"",""multi"":1,""choice"":{""1"":""Yes"",""2"":""No"",""3"":""Not retarded, just a 15 y\/o dumbass"",""4"":""Not retarded, just autistic"",""5"":""GAS HIM!"",""6"":""\u041a\u043e\u0441\u043e\u0432\u043e \u0458\u0435 \u0421\u0440\u0431\u0438\u0458\u0430!""},""votes"":{""1"":17,""2"":2,""3"":17,""4"":6,""5"":11,""6"":12}}}",13946,82,"Is the OP a retard?",0,0,0,-1
53,1486599961,"{""1"":{""question"":""Have you ever been diagnosed with a mental disorder?"",""multi"":0,""choice"":{""1"":""Yes, and I think the diagnosis was pretty accurate."",""2"":""Yes, but the diagnose is bullshit."",""3"":""No, but I think have something."",""4"":""I'm mentally health person.""},""votes"":{""1"":2,""2"":2,""3"":5,""4"":10}}}",13488,19,"Have you ever been diagnosed with a mental disorder?",0,0,0,-1
54,1487891265,"{""1"":{""question"":""Is The OP Stupid?"",""multi"":1,""choice"":{""1"":""Yes"",""2"":""No"",""3"":""He's learning"",""4"":""GAS GAS GAS!!!!! OY VEY SHUT HIM DOWN!!!!!!""},""votes"":{""1"":4,""2"":1,""3"":10,""4"":3}}}",13167,16,"The Military???",0,0,0,-1
55,1495996802,"{""1"":{""question"":""What is the best option to support"",""multi"":0,""choice"":{""1"":""Casapound"",""2"":""Forza Nuova""},""votes"":{""1"":10,""2"":1}}}",13893,11,"What is the best option to support",0,1,0,-1
57,1501698300,"{""1"":{""question"":""Which group are you in?"",""multi"":0,""choice"":{""1"":""Married, no children"",""2"":""Married, with children"",""3"":""Not married, no children"",""4"":""Not married, with children""},""votes"":{""1"":1,""2"":4,""3"":50,""4"":1}}}",14178,56,"Children and Marriage Status",0,0,0,-1
58,1502755801,"{""1"":{""question"":""Pick the option that applies to you."",""multi"":0,""choice"":{""1"":""I am currently an active member of an existing and well established NS movement (ex: NRM or GD)"",""2"":""I am currently an active member of an existing NS group that has been created through IM (ex: AWD or AR)"",""3"":""I am currently an active member of an existing NS group that was not created through IM"",""4"":""I am currently working with comrades towards the creation of a new NS group"",""5"":""I am not currently an active member of any group or movement""},""votes"":{""1"":7,""2"":17,""3"":14,""4"":20,""5"":39}}}",1,97,"IM Activism Poll",0,0,0,-1
59,1503067035,"{""1"":{""question"":""Pick what faith\/belief\/spiritual teaching you follow."",""multi"":0,""choice"":{""1"":""Esoteric Fascism\/Hitlerism"",""2"":""Catholicism"",""3"":""Orthodoxy"",""4"":""European Paganism"",""5"":""Eastern Tradition (Buddhism, \""Hinduism\"", Taoism, etc)"",""6"":""Agnostic (generally believe in a higher power but don't follow any specific faith\/teaching)"",""7"":""Filthy Heretic (ex: protestantism, islam, theosophy, any new age crap)"",""8"":""Filthy Atheist (including creativity)"",""9"":""Total Fucking Retard (Satanism, O9A, Kekism, etc)""},""votes"":{""1"":49,""2"":16,""3"":21,""4"":14,""5"":1,""6"":19,""7"":9,""8"":4,""9"":3}}}",1,136,"IM Faith Poll",0,1,0,-1
60,1507202950,"{""1"":{""question"":""Which white nationalist group is the most autistic?"",""multi"":0,""choice"":{""1"":""NSM"",""2"":""VA"",""3"":""TWP (also trad youth)"",""4"":""Modern \""KKK\"""",""5"":""Identity Evropa"",""6"":""\""putin is based\"" MAGA idiots"",""7"":""\""Kekistan\"" autists"",""8"":""Other dumb faggot splinter grouos of the same type"",""9"":""Anything I missed""},""votes"":{""1"":2,""2"":0,""3"":0,""4"":1,""5"":4,""6"":8,""7"":31,""8"":0,""9"":0}}}",13167,46,"Poll: Which huwhyte nationalist group is the most autistic?",0,0,0,-1
